Date,CPI_Value,Currency_against_USD,Money_Supply_M1,Money_Supply_M2,Interest_Rate,Interbank_Rate,GDP_IN_TK,GDP_per_capita_inTK,Government_Spending,Inflation_Rate_MoM,InflationRateYOY
6/1/2014,64.71,77.63,1420000,7010000,7.25,6.25,1.11695E+12,7558.76,59765833333,0.13,6.97
7/1/2014,65.72,77.63,1510000,7150000,7.25,6.68,1.11695E+12,7558.76,59765833333,1.56,7.04
8/1/2014,66.57,77.5,1410000,7130000,7.25,6.52,1.11695E+12,7558.76,59765833333,1.3,6.91
9/1/2014,67.51,77.4,1500000,7250000,7.25,6.86,1.11695E+12,7558.76,59765833333,1.41,6.84
10/1/2014,67.98,77.4,1420000,7210000,7.25,8.41,1.11695E+12,7558.76,59765833333,0.69,6.6
11/1/2014,67.99,77.4,1420000,7250000,7.25,7.77,1.11695E+12,7558.76,59765833333,0.02,6.21
12/1/2014,68.3,77.72,1480000,7410000,7.25,7.93,1.11695E+12,7558.76,59765833333,0.44,6.11
1/1/2015,69.07,77.95,1450000,7390000,7.25,8.57,1.26731E+12,8052.59,68265000000,1.13,6.04
2/1/2015,69.27,77.8,1460000,7470000,7.25,8.21,1.26731E+12,8052.59,68265000000,0.3,6.14
3/1/2015,69.46,77.8,1470000,7510000,7.25,7.66,1.26731E+12,8052.59,68265000000,0.27,6.27
4/1/2015,69.52,77.8,1470000,7550000,7.25,7.57,1.26731E+12,8052.59,68265000000,0.09,6.31
5/1/2015,68.62,77.8,1510000,7680000,7.25,6.4,1.26731E+12,8052.59,68265000000,-1.3,6.19
6/1/2015,68.75,77.8,1610000,7880000,7.25,5.79,1.26731E+12,8052.59,68265000000,0.19,6.25
7/1/2015,69.9,77.8,1650000,8050000,7.25,5.67,1.26731E+12,8052.59,68265000000,1.66,6.36
8/1/2015,70.68,77.8,1590000,8050000,7.25,5.63,1.26731E+12,8052.59,68265000000,1.12,6.13
9/1/2015,71.71,77.8,1730000,8210000,7.25,5.71,1.26731E+12,8052.59,68265000000,1.48,6.24
10/1/2015,72.19,77.8,1640000,8200000,7.25,5.63,1.26731E+12,8052.59,68265000000,0.65,6.19
11/1/2015,72.11,78.05,1630000,8250000,7.25,3.85,1.26731E+12,8052.59,68265000000,-0.11,6.05
12/1/2015,72.46,78.94,1680000,8380000,7.25,3.69,1.26731E+12,8052.59,68265000000,0.5,6.1
1/1/2016,73.26,78.5,1670000,8350000,7.25,3.54,1.73395E+12,8564.49,85000000000,0,6.63
2/1/2016,73.16,78.5,1690000,8450000,6.75,3.73,1.73395E+12,8564.49,85000000000,-0.13,6.82
3/1/2016,73.38,78.45,1710000,8530000,6.75,3.73,1.73395E+12,8564.49,85000000000,0.3,5.65
4/1/2016,73.42,78.4,1740000,8610000,6.75,3.68,1.73395E+12,8564.49,85000000000,0.05,6.04
5/1/2016,72.36,78.4,1810000,8760000,6.75,3.67,1.73395E+12,8564.49,85000000000,-1.44,5.45
6/1/2016,72.56,78.4,2120000,9170000,6.75,3.7,1.73395E+12,8564.49,85000000000,0.27,5.92
7/1/2016,73.67,78.4,1970000,9130000,6.75,3.68,1.73395E+12,8564.49,85000000000,1.54,5.84
8/1/2016,74.47,78.4,1980000,9230000,6.75,3.65,1.73395E+12,8564.49,85000000000,1.09,5.77
9/1/2016,75.69,78.4,2010000,9320000,6.75,3.64,1.73395E+12,8564.49,85000000000,1.63,5.71
10/1/2016,76.21,78.4,1980000,9330000,6.75,3.52,1.73395E+12,8564.49,85000000000,0.69,5.66
11/1/2016,75.99,78.45,1970000,9390000,6.75,3.56,1.73395E+12,8564.49,85000000000,-0.29,5.6
12/1/2016,76.1,78.74,2040000,9540000,6.75,3.62,1.73395E+12,8564.49,85000000000,0.15,5.52
1/1/2017,77.03,78.7,1990000,9520000,6.75,3.54,1.96587E+12,9236.03,98333333333,1.21,5.44
2/1/2017,77.05,79.12,2010000,9580000,6.75,3.5,1.96587E+12,9236.03,98333333333,0.03,5.41
3/1/2017,77.34,79.38,2030000,9650000,6.75,3.65,1.96587E+12,9236.03,98333333333,0.38,5.39
4/1/2017,77.43,79.68,2040000,9710000,6.75,3.76,1.96587E+12,9236.03,98333333333,0.12,5.47
5/1/2017,76.53,80.35,2090000,9780000,6.75,3.81,1.96587E+12,9236.03,98333333333,-1.17,5.76
6/1/2017,76.87,80.57,2400000,10200000,6.75,3.93,1.96587E+12,9236.03,98333333333,0.44,5.94
7/1/2017,77.77,80.6,2260000,10100000,6.75,3.72,1.96587E+12,9236.03,98333333333,1.18,5.45
8/1/2017,78.86,80.66,2430000,10300000,6.75,3.77,1.96587E+12,9236.03,98333333333,1.4,5.5
9/1/2017,80.32,80.7,2310000,10300000,6.75,3.91,1.96587E+12,9236.03,98333333333,1.85,5.55
10/1/2017,80.81,80.8,2270000,10300000,6.75,3.87,1.96587E+12,9236.03,98333333333,0.61,5.59
11/1/2017,80.48,80.9,2270000,10600000,6.75,3.82,1.96587E+12,9236.03,98333333333,-0.41,5.64
